date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:07:04	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263cf03be-239b%22	https://themewagon.github.io/robots.txt		(from )
17:07:04	24483/24483	---M-Z	200	added ('OK')	text/html	etag:W/%2263a961e3-5fa3%22	https://themewagon.github.io/meyawo/	C:/My%20Web%20Sites/bakare/themewagon.github.io/meyawo/index.html	(from )
17:07:05	16450/16450	---M-Z	200	added ('OK')	text/css	etag:W/%2263a961e3-4042%22	https://themewagon.github.io/meyawo/assets/vendors/themify-icons/css/themify-icons.css	C:/My%20Web%20Sites/bakare/themewagon.github.io/meyawo/assets/vendors/themify-icons/css/themify-icons.css	(from https://themewagon.github.io/meyawo/)
17:07:06	255428/255428	---M-Z	200	added ('OK')	text/css	etag:W/%2263a961e3-3e5c4%22	https://themewagon.github.io/meyawo/assets/css/meyawo.css	C:/My%20Web%20Sites/bakare/themewagon.github.io/meyawo/assets/css/meyawo.css	(from https://themewagon.github.io/meyawo/)
17:07:07	42282/42282	---M-Z	200	added ('OK')	text/html	etag:W/%2263a961e3-a52a%22	https://themewagon.github.io/meyawo/components.html	C:/My%20Web%20Sites/bakare/themewagon.github.io/meyawo/components.html	(from https://themewagon.github.io/meyawo/)
17:07:08	64957/64957	---M--	200	added ('OK')	image/png	etag:%2263a961e3-fdbd%22	https://themewagon.github.io/meyawo/assets/imgs/man.png	C:/My%20Web%20Sites/bakare/themewagon.github.io/meyawo/assets/imgs/man.png	(from https://themewagon.github.io/meyawo/)
17:07:08	3644/3644	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2263a961e3-e3c%22	https://themewagon.github.io/meyawo/assets/imgs/pencil-case.svg	C:/My%20Web%20Sites/bakare/themewagon.github.io/meyawo/assets/imgs/pencil-case.svg	(from https://themewagon.github.io/meyawo/)
17:07:08	3150/3150	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2263a961e3-c4e%22	https://themewagon.github.io/meyawo/assets/imgs/responsive.svg	C:/My%20Web%20Sites/bakare/themewagon.github.io/meyawo/assets/imgs/responsive.svg	(from https://themewagon.github.io/meyawo/)
17:07:09	2995/2995	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2263a961e3-bb3%22	https://themewagon.github.io/meyawo/assets/imgs/toolbox.svg	C:/My%20Web%20Sites/bakare/themewagon.github.io/meyawo/assets/imgs/toolbox.svg	(from https://themewagon.github.io/meyawo/)
17:07:19	3654/3654	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2263a961e3-e46%22	https://themewagon.github.io/meyawo/assets/imgs/analytics.svg	C:/My%20Web%20Sites/bakare/themewagon.github.io/meyawo/assets/imgs/analytics.svg	(from https://themewagon.github.io/meyawo/)
17:07:20	62265/62265	---M--	200	added ('OK')	image/jpeg	etag:%2263a961e3-f339%22	https://themewagon.github.io/meyawo/assets/imgs/folio-1.jpg	C:/My%20Web%20Sites/bakare/themewagon.github.io/meyawo/assets/imgs/folio-1.jpg	(from https://themewagon.github.io/meyawo/)
17:07:52	62477/62477	---M--	200	added ('OK')	image/jpeg	etag:%2263a961e3-f40d%22	https://themewagon.github.io/meyawo/assets/imgs/folio-2.jpg	C:/My%20Web%20Sites/bakare/themewagon.github.io/meyawo/assets/imgs/folio-2.jpg	(from https://themewagon.github.io/meyawo/)
17:08:09	4595/4595	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2263a961e3-11f3%22	https://themewagon.github.io/meyawo/assets/imgs/scooter.svg	C:/My%20Web%20Sites/bakare/themewagon.github.io/meyawo/assets/imgs/scooter.svg	(from https://themewagon.github.io/meyawo/)
17:08:10	4008/4008	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2263a961e3-fa8%22	https://themewagon.github.io/meyawo/assets/imgs/shipped.svg	C:/My%20Web%20Sites/bakare/themewagon.github.io/meyawo/assets/imgs/shipped.svg	(from https://themewagon.github.io/meyawo/)
